Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Data Engineer (Senior/Principal) ,Addepto,Remote,Data  Python  Big data  Databricks,21000,31920,PLN
 Data Engineer III - Forecasting ,Tesco Technology,Kraków,Data  Python  Hadoop  Spark,26000,40000,PLN
 Data Engineer ,ROCKWOOL GBS,Poznań,Data  SQL  NoSQL  Data pipelines,,,
 Data Engineer (Fulfillment) ,Tesco Technology,Kraków,Data  Scala  Hadoop  Kafka,20000,30000,PLN
 Data Engineer ,CommerzBank,Łódź,Data  SQL  DWH  Unix,,,
 Senior Data Engineer (Finance Team) ,Falck Digital Technology Poland Sp. z o.o.,Warsaw,Data  SQL  Azure  Python,20000,25000,PLN
 Professional Data Engineer ,AVENGA,Remote,Data  Snowflake  ETL  Python,21840,24360,PLN
 Data Engineer in Microsoft Azure Cloud ,Avanade Poland,Remote,Data  Python  Azure  SQL,19320,29400,PLN
 Data Platform Engineer/Consultant ,Elitmind,Remote,Business Intelligence  English  SQL  ETL,13944,19992,PLN
 Data Engineer | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Remote,Data  Hive  Spark  ETL,,,
 Medior Data Engineer ,DATAPAO Kft.,Remote,Consulting  Spark  AWS  Azure,10836,16254,PLN
 Senior Data Engineer ,DATAPAO Kft.,Remote,Consulting  Data  SQL  NoSQL,16254,21672,PLN
 Data Engineer ,Numlabs - Data Science Services,Remote,Data  Python  Degree  Cloud computing,16800,25200,PLN
 Junior Data Engineer / Python Developer ,Alterdata.io sp. z o.o.,Remote,Data  Python  SQL  Problem solving,7000,11000,PLN
 DevOps Engineer (AI Team) ,Addepto,Remote,DevOps  Data engineer  Azure  Azure Data Factory,19320,25200,PLN
 Solution Architect (Databricks/Snowflake) (1979) ,N-iX,Remote,Architecture  Data engineer  Snowflake  Databricks,30627,38284,PLN
 Senior Technical Instructor ,DATAPAO Kft.,Remote,Data  Data engineer  SQL  Teaching Skills,16254,21672,PLN
 Senior Technical Instructor ,DATAPAO Kft.,Remote,Consulting  Data engineer  Teaching Skills  Communication skills,16254,21672,PLN
 Lead Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  ML  Data science,19320,28560,PLN
 Data Scientist ,Sii Polska,Remote,Data  Python  NLP  AWS,24000,30000,PLN
 Senior Data Scientist ,Link Group,Remote,AI  Algorithms  Machine learning  Generative AI,17227,24884,PLN
 Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  Machine learning  Data science,14280,25200,PLN
 Senior Data Scientist (NLP and Computer Vision) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,26000,35000,PLN
 Data Scientist (NLP and Computer Vision) ,Brainly Sp. z o.o.,Remote,AI  Python  NLP  Deep learning,17500,30000,PLN
 Senior Data Scientist Generative AI ,SoftServe,Remote,AI  CV  NLP  Transformer models,20000,30000,PLN
